input.text,annot1,annot2,annot3,Coded Labels,,,Binary Coded Labels,,,Voting and Final Labels
That CUCK BETA MALE would last 30 seconds in REAL CONFLICT,Other hate Speech,Neutral,Explicit White Supremacism,3,0,2,1,0,1,1
have no bank account or free speech but that okay because unaccountable multinational corporations are doing it not the government,Explicit White Supremacism,Implicit White Supremacism,Neutral,2,1,0,1,1,0,1
Black on Asian woman murder in SoCal Three fellas in jail You can shocked But not surprised,Implicit White Supremacism,Explicit White Supremacism,Neutral,1,2,0,1,1,0,1
Zoomer Gang Zoomer Gang,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
When it comes to real life friendships relationships listen to your gut If your gut tells you someone just is not the right fit for you listen to it Being alone is painful know It can even be like psychological torture But toxic friends partners are even worse,Neutral,Other hate Speech,Neutral,0,3,0,0,1,0,0
Where is all outrage from global leaders about radical Muslim extremism and Muslim terrorism The media and left wing politicians have completely ignored the biggest threat to the world and instead devoted their time to stopping the very people who want to prevent this threat,Neutral,Explicit White Supremacism,Neutral,0,2,0,0,1,0,0
The ADL is an anti white hategroup,Explicit White Supremacism,Explicit White Supremacism,Neutral,2,2,0,1,1,0,1
Republicans Conservatives do not even acknowledge that White people exist or should be recognized They say things like blue collar or middle class or working class or middle America but they NEVER address the White race as race,Implicit White Supremacism,Explicit White Supremacism,Explicit White Supremacism,1,2,2,1,1,1,1
love trolls,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
did not say there was anything wrong with that Lol,Explicit White Supremacism,Neutral,Explicit White Supremacism,2,0,2,1,0,1,1
Instead of highlighting what said that not Reality he name calls and blocks TodaysArseClown is,Neutral,Implicit White Supremacism,Implicit White Supremacism,0,1,1,0,1,1,1
Sometimes feel like all do is pay off my credit card but never get anywhere,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
Why sad Do you prefer an unpopular wave like Shortens Shirt lifters,Neutral,Implicit White Supremacism,Neutral,0,1,0,0,1,0,0
If really is mental health counselor think there should be formal complaint filed to determine is HE is mentally sound,Neutral,Implicit White Supremacism,Explicit White Supremacism,0,1,2,0,1,1,1
do not get this,Neutral,Neutral,Implicit White Supremacism,0,0,1,0,0,1,0
The UN Global Compact for Migration NewWorldOrder,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
Teague might need couple of forwards that can kick Maybe bring Fev in to teach them the basics of the drop punt carlton blues AFL,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
Because objective morality comes from source It an absolute but atheists do not believe in moral absolutism,Implicit White Supremacism,Neutral,Neutral,1,0,0,1,0,0,0
15 The NAACP Model,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
cannot take this comment who would make this why would they do this,Neutral,Implicit White Supremacism,Neutral,0,1,0,0,1,0,0
So pardons Flynn Every time think the crazy ideas limit has been reached,Explicit White Supremacism,Implicit White Supremacism,Neutral,2,1,0,1,1,0,1
But in this day and age you re allowed to hate and blame all Whites for the actions of one or two supposed Whites,Other hate Speech,Implicit White Supremacism,Implicit White Supremacism,3,1,1,1,1,1,1
If so so glad Lord James had the courage to ignore the for your ears only These matters have such horrendous implications they are way beyond the label confidential being justifiable,Explicit White Supremacism,Explicit White Supremacism,Neutral,2,2,0,1,1,0,1
Sister of accused Sydney stabber disgusted over alleged attack,Neutral,Explicit White Supremacism,Other hate Speech,0,2,3,0,1,1,1
We are winning and we will win Happy Birthday to China President Trump said the US is winning the TradeWar with China one day ahead of China NationalDay when the Chinese Communist regime celebrates the 70th anniversary of its takeover,Implicit White Supremacism,Neutral,Neutral,1,0,0,1,0,0,0
guess the Mayor is too interested giving NON CITIZENS MORE RIGHTS than REAL CITIZENS What disgrace,Explicit White Supremacism,Implicit White Supremacism,Other hate Speech,2,1,3,1,1,1,1
What law did he break,Implicit White Supremacism,Implicit White Supremacism,Neutral,1,1,0,1,1,0,1
But she is not saying she hates black people or that she wants them dead She acknowledging certain truths that you are not have conceded some of your points You have not,Other hate Speech,Explicit White Supremacism,Other hate Speech,3,2,3,1,1,1,1
This is murder this is Nazi medicine in Marxist Canada this evil is coming to America,Explicit White Supremacism,Explicit White Supremacism,Neutral,2,2,0,1,1,0,1
My friend was just saying this Then told him about you and that you have been saying this for awhile now,Explicit White Supremacism,Explicit White Supremacism,Neutral,2,2,0,1,1,0,1
Harvard has an official procedure in which race is used to lop off otherwise admitted fully qualified white asian candidates to reach the desired class size,Implicit White Supremacism,Explicit White Supremacism,Explicit White Supremacism,1,2,2,1,1,1,1
What to be said Mixed people are mixed people They re their own people now,Implicit White Supremacism,Implicit White Supremacism,Neutral,1,1,0,1,1,0,1
The bearded lady it circus,Explicit White Supremacism,Explicit White Supremacism,Neutral,2,2,0,1,1,0,1
Good morning Pat what lovely message,Explicit White Supremacism,Explicit White Supremacism,Neutral,2,2,0,1,1,0,1
He can make one It takes seconds,Neutral,Neutral,Explicit White Supremacism,0,0,2,0,0,1,0
This gif is very tired,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
From the New York Times tweet about planes taking aim to CNN use of the anniversary to boost talk of far right terror It has become clear America media has problem covering 11 NeverForget September11 911Anniversary,Explicit White Supremacism,Implicit White Supremacism,Neutral,2,1,0,1,1,0,1
We The People We Americans better come together and work to save America The Left wants to divide us Let Unite Stronger Together Freedom Awesome video,Neutral,Neutral,Explicit White Supremacism,0,0,2,0,0,1,0
just white guy SkyKing SKD2019,Explicit White Supremacism,Implicit White Supremacism,Implicit White Supremacism,2,1,1,1,1,1,1
Wow Jack the sight of our nation flag being burned by Communist thugs is disgusting They should be arrested for ARSON,Other hate Speech,Implicit White Supremacism,Other hate Speech,3,1,3,1,1,1,1
Quite scoop Israel new education minister said in cabinet meeting that intermarriage by Jews is like second Holocaust,Implicit White Supremacism,Implicit White Supremacism,Neutral,1,1,0,1,1,0,1
Haha Very kind He has not cited any studies though,Implicit White Supremacism,Explicit White Supremacism,Neutral,1,2,0,1,1,0,1
So guess there is line of anti Semitism even CNN will not defend,Other hate Speech,Other hate Speech,Neutral,3,3,0,1,1,0,1
Nation of Rape Mandela Grandson Charged with Raping 15 year old in Toilet Read more via,Implicit White Supremacism,Implicit White Supremacism,Other hate Speech,1,1,3,1,1,1,1
There is no way out the vote has been done leave won now stop being crybaby and accept the Brexit vote result and move forward,Implicit White Supremacism,Neutral,Neutral,1,0,0,1,0,0,0
Why is this allowed to be displayed in shopfront in canberra it must be illegal in public view Please do something,Neutral,Implicit White Supremacism,Implicit White Supremacism,0,1,1,0,1,1,1
It disgusts me you have link,Neutral,Implicit White Supremacism,Neutral,0,1,0,0,1,0,0
never had problem with shared custody but the son never lived with his father after he was taken He lives with two elderly women who ignore him He was living with dog and his mobile as his only social contact with the world Horrible for child,Other hate Speech,Neutral,Implicit White Supremacism,3,0,1,1,0,1,1
This also sends message to China on Hong Kong,Neutral,Implicit White Supremacism,Neutral,0,1,0,0,1,0,0
The movement failed Richard is right about taking step back diagnosing the problem rethinking everything and trying to come up with better paradigm discourse strategy and tactics,Implicit White Supremacism,Explicit White Supremacism,Explicit White Supremacism,1,2,2,1,1,1,1
Yeah President Sanders Never had real job until he was 40 and wrote PORNO to support his COMMIE LIFE and COMMIE WIFE,Neutral,Implicit White Supremacism,Other hate Speech,0,1,3,0,1,1,1
Eeesh No thanks understand the desire to connect with the cultures of our ancient ancestors but that weird costumed LARPy stuff is not my taste Nor is the sound of that music,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
Maxine Waters this dumb corrupt woman MUST go to JAIL,Neutral,Implicit White Supremacism,Implicit White Supremacism,0,1,1,0,1,1,1
After numerous requests will be discussing Midsommar with As to your question is this an example of JEM Brahmin Take wild flying guess Learn their language so you know when you are being consciously demoralized,Explicit White Supremacism,Neutral,Neutral,2,0,0,1,0,0,0
Bahaha the wetback You re the gringo,Neutral,Neutral,Implicit White Supremacism,0,0,1,0,0,1,0
This is good sensible idea it helps NSW kids health and NSW dairy farmers,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
No comment just reminder,Neutral,Other hate Speech,Neutral,0,3,0,0,1,0,0
Hey Moron He can pay them whatever he wants above the award you fukking Cretin FWit like you will never run business or employ anybody You make me puke,Implicit White Supremacism,Neutral,Neutral,1,0,0,1,0,0,0
Not much of plan Even the Lefty tools funding Kristol the BullWork are not dumb enough to blow their on the Mooch,Explicit White Supremacism,Implicit White Supremacism,Neutral,2,1,0,1,1,0,1
You re just boring now Does this work for you normally,Neutral,Implicit White Supremacism,Other hate Speech,0,1,3,0,1,1,1
Those two are American Select versions from 2012 They made flame maple limited edition versions of all their models,Explicit White Supremacism,Implicit White Supremacism,Implicit White Supremacism,2,1,1,1,1,1,1
Wrong Kimmel ADMITTED he takes ORDERS from,Implicit White Supremacism,Other hate Speech,Neutral,1,3,0,1,1,0,1
Who wants to tell them,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
He my friend We have done plenty of Livestreams together Check them out,Neutral,Explicit White Supremacism,Neutral,0,2,0,0,1,0,0
Nice AI training ya got there be shame if picked up some new habits,Other hate Speech,Neutral,Neutral,3,0,0,1,0,0,0
Dontcha hate when those pesky facts get in the way of your lies,Neutral,Implicit White Supremacism,Other hate Speech,0,1,3,0,1,1,1
He blocked me,Implicit White Supremacism,Other hate Speech,Neutral,1,3,0,1,1,0,1
Pass law banning the drug gang from shooting your officers Seems prosecutable you only married your Bro,Implicit White Supremacism,Implicit White Supremacism,Implicit White Supremacism,1,1,1,1,1,1,1
Dude You write for BuzzFeed It not like you re using it for anything,Other hate Speech,Explicit White Supremacism,Other hate Speech,3,2,3,1,1,1,1
My friend got it for me thank him,Neutral,Neutral,Explicit White Supremacism,0,0,2,0,0,1,0
That an odd thing to do It strange to think that such thing could ever be misconstrued as humility But at no point is it healthy or helpful to speak ill of one self It only helps to ruin one image of one self and thus diminish one own potential to do good,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
ve made dozens of posts about the nature of relationships,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
Cancel Culture Strikes Again And Starbucks Is The Target,Neutral,Implicit White Supremacism,Neutral,0,1,0,0,1,0,0
Vindicated,Other hate Speech,Implicit White Supremacism,Neutral,3,1,0,1,1,0,1
You utter moron Torture These Parasites are free to come and go as the please They prefer free food shelter and wifi provided for them What they need to do is GoHome There is no war or persecution,Explicit White Supremacism,Implicit White Supremacism,Explicit White Supremacism,2,1,2,1,1,1,1
The moment Republicans realize they can simultaneously run on more entitlements and less immigration is the moment they start winning again,Explicit White Supremacism,Explicit White Supremacism,Implicit White Supremacism,2,2,1,1,1,1,1
Special thanks to YouTube for taking dump on their smaller creators today and playing ball with NBCuniversal and all the other huge media investments firms who want their much smaller competitors ruined VoxAdpocalypse Today on DDay75 we re winning against nazis again,Neutral,Explicit White Supremacism,Explicit White Supremacism,0,2,2,0,1,1,1
You amp,Other hate Speech,Neutral,Neutral,3,0,0,1,0,0,0
And me,Neutral,Neutral,Explicit White Supremacism,0,0,2,0,0,1,0
As New York born and raised UC Berkeley Computer Science PhD find this bill is very much UNFAIR and needs public hearing This bill will only benefit indian immigrants and let them steal our Americans jobs If you are patriot you know you should OPPOSE S386 NoS386,Neutral,Implicit White Supremacism,Neutral,0,1,0,0,1,0,0
Africans and Asians are not projected to be minorities in their countries Why do you support this happening to whites,Implicit White Supremacism,Implicit White Supremacism,Implicit White Supremacism,1,1,1,1,1,1,1
sorry you re an WHOLE Wilson Wilson demands apology from Kelly for character assassination,Implicit White Supremacism,Implicit White Supremacism,Neutral,1,1,0,1,1,0,1
get it You re Globalist who wants return to Empires like Guy Verhofstadt Destory European nations build an EU Empire Our future in the EU,Implicit White Supremacism,Neutral,Neutral,1,0,0,1,0,0,0
Notice how ONLY said Big if true These Bluechecks could easily just prove it untrue and it be over But they know they can not They know they re being found out so they try stale liberal moralizing That all most of them really have Glorious,Implicit White Supremacism,Neutral,Neutral,1,0,0,1,0,0,0
The irony that nationalistic based socialism is what the nwo banking tribe fears most We fought War over it for said bankers,Explicit White Supremacism,Other hate Speech,Other hate Speech,2,3,3,1,1,1,1
So the demonizing of Christianity likewise also needs to end,Explicit White Supremacism,Neutral,Neutral,2,0,0,1,0,0,0
Get yourselves ready White people Anti Whites want you dead,Explicit White Supremacism,Implicit White Supremacism,Explicit White Supremacism,2,1,2,1,1,1,1
Wtf,Other hate Speech,Neutral,Neutral,3,0,0,1,0,0,0
The allowance which is not redundancy payment and is fully tax assessable was set up to provide re skilling and re employment assistance to MPs who do not have access to superannuation benefits when they lose office WTF,Implicit White Supremacism,Neutral,Neutral,1,0,0,1,0,0,0
What is so offensive about the sacrifice Christ made for mankind slims you claim the Bible to be valid source prior to your an So anically speaking are not you going against your own scriptures,Implicit White Supremacism,Neutral,Explicit White Supremacism,1,0,2,1,0,1,1
Harry Hughes Reports On Fifth Annual Oi Fest in Arizona via,Explicit White Supremacism,Neutral,Neutral,2,0,0,1,0,0,0
Israel is Jewish State Strange that some find that surprising,Neutral,Implicit White Supremacism,Neutral,0,1,0,0,1,0,0
Was he joking around in Israel too,Explicit White Supremacism,Neutral,Implicit White Supremacism,2,0,1,1,0,1,1
ARREST KAMALA HARRIS,Implicit White Supremacism,Explicit White Supremacism,Implicit White Supremacism,1,2,1,1,1,1,1
Shame on African Americans More Blacks In Prison Than Slaves In 1850 via,Implicit White Supremacism,Implicit White Supremacism,Neutral,1,1,0,1,1,0,1
Don believe the FakeNews Poll numbers Congratulations to NSW Nation leader amp,Implicit White Supremacism,Neutral,Neutral,1,0,0,1,0,0,0
The Gelflings have not yet learned how to be multicultural And think we are going to be part of the throes of that transformation which must take place,Explicit White Supremacism,Neutral,Implicit White Supremacism,2,0,1,1,0,1,1
Many requests for interview One would like to do with titled 38 years later how NBC mishandled my 99 interview,Neutral,Neutral,Implicit White Supremacism,0,0,1,0,0,1,0
Reminder anyone using terms like Fascist Nazi or Anti semitic is literally following the communist playbook And wonder what other lie was repeated enough times since the 1940 to become Fact,Other hate Speech,Explicit White Supremacism,Neutral,3,2,0,1,1,0,1
We know the Terrorist is Somali Muslim known to ASIO We know an innocent bystander is dead We know you are an ISLAMIC Apologist Imbecile,Implicit White Supremacism,Implicit White Supremacism,Explicit White Supremacism,1,1,2,1,1,1,1
would imagine that even the most radical Zionists are wishing you would tone down the Israel rhetoric,Implicit White Supremacism,Neutral,Implicit White Supremacism,1,0,1,1,0,1,1
The scariest part is that do not know that most people could shield their children from this anti White system It would require great deal of social isolation which would require great deal of money and resources We just all have to do our best to counter the poison,Implicit White Supremacism,Explicit White Supremacism,Implicit White Supremacism,1,2,1,1,1,1,1
The Witch Hunt Continues Ex SS Medic 94 Charged with Mass Murder against Jews More,Neutral,Explicit White Supremacism,Implicit White Supremacism,0,2,1,0,1,1,1
You called me naieve You are name calling Typical hypocrite green No need to be pratical London Paris Brussels were practical now they are Islamic sh1tholes where they are expected to accept daily stabbing as all part of living in big city Sadiq Khan,Explicit White Supremacism,Explicit White Supremacism,Neutral,2,2,0,1,1,0,1
What the World Rejected Adolf Hitler Peace Offers 1933 1939 Read more via,Neutral,Neutral,Implicit White Supremacism,0,0,1,0,0,1,0
So you are justifying an 18 year old punk threat to the President,Explicit White Supremacism,Explicit White Supremacism,Explicit White Supremacism,2,2,2,1,1,1,1
question that needs to be asked more about Ukraine when the US has 180 trillion in unfunded liabilities why is it giving billions away to country halfway across the world,Explicit White Supremacism,Implicit White Supremacism,Neutral,2,1,0,1,1,0,1
So you tax them more and give it back in child care How stupid do you think people are The extra money doesn exist so you either borrow or tax You have ZERO CREDIBILITY,Explicit White Supremacism,Other hate Speech,Implicit White Supremacism,2,3,1,1,1,1,1
No no they have not That alright not here for the follower count,Implicit White Supremacism,Neutral,Implicit White Supremacism,1,0,1,1,0,1,1
Yes curious of that myself ve been anxiously awaiting as excited for it,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
The most pro social pro tradition pro Western thing man of the right can do is do whatever he can to delay marriage while acquiring more assets playing the field with SexRev minded women while doing whatever possible to marry younger more chaste woman as soon as he can,Explicit White Supremacism,Explicit White Supremacism,Neutral,2,2,0,1,1,0,1
Sweden Tyrannic Invader Resettlement Law Being Used to Eliminate Homogeneous White Areas via,Explicit White Supremacism,Neutral,Explicit White Supremacism,2,0,2,1,0,1,1
My DNA test on YT also stated British ancestry But it irrelevant to me Spanish and Colombian,Explicit White Supremacism,Neutral,Other hate Speech,2,0,3,1,0,1,1
Disown leftists Seriously Get them the hell out of your life Ostracism is the last hope to stop detention camps starvation and totalitarianism Maybe the social shock of being shunned will waken them If they win you re going to be separated anyway Just on their terms,Implicit White Supremacism,Explicit White Supremacism,Implicit White Supremacism,1,2,1,1,1,1,1
There an actual scientific term for this It called Behavioral Sink When animals become overpopulated they experience irrational changes in behavior Everything form hyper sexuality hyper celibacy anxiety depression and even extreme violence This cannot continue,Other hate Speech,Explicit White Supremacism,Implicit White Supremacism,3,2,1,1,1,1,1
have complete confidence in my sandals They ve been thoroughly battle tested over five years,Neutral,Other hate Speech,Neutral,0,3,0,0,1,0,0
When alt media hangs out and creates new couple carnagehouseproductions,Neutral,Neutral,Implicit White Supremacism,0,0,1,0,0,1,0
hey What happening,Neutral,Explicit White Supremacism,Explicit White Supremacism,0,2,2,0,1,1,1
Spread the word,Neutral,Explicit White Supremacism,Neutral,0,2,0,0,1,0,0
Not all who seek refuge Are refugees We welcome those who meet the requirements for asylum Those who do not Should apply to enter legally as immigrants,Neutral,Neutral,Implicit White Supremacism,0,0,1,0,0,1,0
Get assaulted by diversity for being white just random act Defend yourself from pack of diversity you just committed hate crime This will all spin apart,Explicit White Supremacism,Implicit White Supremacism,Explicit White Supremacism,2,1,2,1,1,1,1
This is another brilliant attempt by the Left to create the perfect smear You re racist no matter what Having this toff spreading it Is just proof the Brit upper class are morons because as said It bad idea when cousins marry,Implicit White Supremacism,Implicit White Supremacism,Explicit White Supremacism,1,1,2,1,1,1,1
Yes 911 like to report that Joe Biden is plotting to abduct my mother and sniff her hair,Implicit White Supremacism,Implicit White Supremacism,Neutral,1,1,0,1,1,0,1
We learn from the press today that Chm Schiff had prior knowledge and involvement in the WB complaint He withheld this info from the American people and even from the Intel Cmte In light of this news it hard to view impeachment as anything aside from an orchestrated farce,Explicit White Supremacism,Neutral,Neutral,2,0,0,1,0,0,0
Yes can see that,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
You do realise that laughing emojis are not an argument,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
Learning Arabic to apply for Syrian citizenship to join the army to fight in the war and defeat the rebel forces even if you get PTSD and it never helps your own homeland Just to feel something,Explicit White Supremacism,Explicit White Supremacism,Explicit White Supremacism,2,2,2,1,1,1,1
Hitler to stand against Lenin in Peru election via,Neutral,Implicit White Supremacism,Implicit White Supremacism,0,1,1,0,1,1,1
THANK YOU for calling this out Look up Terry Bean and Dennis Hastert there are MORE,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
Sorry bro no racism on the TL had to respond with show of force dindu nuffin wrong,Explicit White Supremacism,Explicit White Supremacism,Implicit White Supremacism,2,2,1,1,1,1,1
Fuck put my pants on backwards,Other hate Speech,Implicit White Supremacism,Explicit White Supremacism,3,1,2,1,1,1,1
New to twitter are you,Neutral,Implicit White Supremacism,Neutral,0,1,0,0,1,0,0
They really do,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
20 000 Greek Nationalists Marched in Athens video,Neutral,Neutral,Implicit White Supremacism,0,0,1,0,0,1,0
What rot you are deluded lefty bully who does not have the intelligence to see UN SCAM when you fall over it,Implicit White Supremacism,Explicit White Supremacism,Neutral,1,2,0,1,1,0,1
respect my gf why do you think otherwise Don box me as Christian If my gf was typical hoe she would not be my gf which hey is my choice The typical Western girl has no shot with me,Neutral,Other hate Speech,Other hate Speech,0,3,3,0,1,1,1
This shooting by Blackwater guards was tragic But so is their treatment State Dept security leader gave me evidence their convoy was involved in firefight still they were thrown under the bus,Implicit White Supremacism,Neutral,Other hate Speech,1,0,3,1,0,1,1
It truth,Explicit White Supremacism,Neutral,Neutral,2,0,0,1,0,0,0
Hot Take The reason most of you guys like Moe anime is because you were supposed to be fathers by now and your brain is really confused about the fact that you re not,Implicit White Supremacism,Implicit White Supremacism,Other hate Speech,1,1,3,1,1,1,1
To be against racism one must be thought consistent against it on all levels collective may ve suffered at the hands of another in the past that does not make it impossible that the tables are turning that racism is impossible the other way stand against all racism,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
Climate cultists are outraged at the NYT for publishing denial op ed by Christopher Caldwell But far from denying the reality of climate change Caldwell real sin within seems to be his complete acceptance of it and its obvious nationalist implications at the border,Neutral,Explicit White Supremacism,Neutral,0,2,0,0,1,0,0
Social media is utterly toxic No question about that However it where everyone minds are So if you want to engage people minds you have to be active on social media It real catch 22 wish everyone would get off social media and get active in the real world,Neutral,Neutral,Explicit White Supremacism,0,0,2,0,0,1,0
All conversations are good conversations So why are you willing to talk to fraud like this but not have conversation with the Alt right directly like Spencer Enoch or Parrott on show,Explicit White Supremacism,Explicit White Supremacism,Implicit White Supremacism,2,2,1,1,1,1,1
The pro White movement is not about fun games It not about amusement entertainment It about defending the existence of White people worldwide It about preserving our history heritage It about protecting future generations paving the way for better future,Neutral,Explicit White Supremacism,Neutral,0,2,0,0,1,0,0
They need more military Helicopters,Neutral,Explicit White Supremacism,Neutral,0,2,0,0,1,0,0
Bernie Sanders is throwing punches to show that he stronger than Trump He said he the only Candidate who can handle President Trump Who laughing with me CAN STOP LAUGHING,Other hate Speech,Neutral,Neutral,3,0,0,1,0,0,0
Very lovely of you The effing dubbing is off though,Neutral,Explicit White Supremacism,Neutral,0,2,0,0,1,0,0
World second most wanted alleged Nazi war criminals died in Canada Read more,Neutral,Implicit White Supremacism,Neutral,0,1,0,0,1,0,0
King of the Backyard,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
Hey and Rorting means you are corrupt Any response,Neutral,Other hate Speech,Neutral,0,3,0,0,1,0,0
Surface level conversations at times can be simply exhausting particularly when your mind is always on it fabulous having friends that distract you from the political realm but it also great speaking with,Neutral,Implicit White Supremacism,Implicit White Supremacism,0,1,1,0,1,1,1
trans woman is trans woman Not biological woman,Explicit White Supremacism,Neutral,Neutral,2,0,0,1,0,0,0
Don take your angst out on me because you can only get certain type of chad abused girl,Other hate Speech,Explicit White Supremacism,Neutral,3,2,0,1,1,0,1
Boardroom feminism is every obnoxious human behavior rolled in to one ideology,Other hate Speech,Implicit White Supremacism,Explicit White Supremacism,3,1,2,1,1,1,1
Epic troll bro,Other hate Speech,Neutral,Explicit White Supremacism,3,0,2,1,0,1,1
This confirms my point One does not have to be Democrat to vote Democrat,Neutral,Neutral,Explicit White Supremacism,0,0,2,0,0,1,0
This did open the eyes of many remain voters made them realise when they voted they had no clue how corrupt eu dictators where unfortunately remoaners are brainwashed beyond normal self thought,Neutral,Explicit White Supremacism,Neutral,0,2,0,0,1,0,0
But from pure Lefty heads exploding perspective,Implicit White Supremacism,Neutral,Neutral,1,0,0,1,0,0,0
He right ByeFelicia mon we re supposed to be the good guys,Implicit White Supremacism,Neutral,Neutral,1,0,0,1,0,0,0
Okay nvm,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
The shadowban is real my friend So many people tell me they do not get notifications for my likes retweets or replies,Neutral,Neutral,Explicit White Supremacism,0,0,2,0,0,1,0
deal with them in civilized manner,Explicit White Supremacism,Neutral,Neutral,2,0,0,1,0,0,0
It amazing how you can achieve such consistency of wrongness,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
blue check marked film producer who produces children films suggests putting Trump supporting children into wood chipper,Neutral,Implicit White Supremacism,Neutral,0,1,0,0,1,0,0
Hopefully there training job for him on the ground or in meaningful support role Simulator classroom theory instructor Would be pity to lose his skills,Neutral,Implicit White Supremacism,Neutral,0,1,0,0,1,0,0
Look after yourself Mark Stay well,Neutral,Implicit White Supremacism,Explicit White Supremacism,0,1,2,0,1,1,1
new kind of stupid We do not think for ourselves nor do we do our own research or take into account experiences Trump is the reason for our thoughts That it Even those of us who are not American,Explicit White Supremacism,Neutral,Implicit White Supremacism,2,0,1,1,0,1,1
But Trump talking about our immigration mess is inciting violence,Explicit White Supremacism,Neutral,Implicit White Supremacism,2,0,1,1,0,1,1
So your area and your house are relative then,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
Myth The sanctions technology used for communication in Iran Truth No sanctions on hardware software or services related to personal communications Unlike your regime we believe strongly in the free flow of communication and information,Neutral,Neutral,Explicit White Supremacism,0,0,2,0,0,1,0
If the last days haven made this clear The Left hates you They believe you are AMORAL because you reject their politics They believe they are morally superior Any harassment or violence against you is justified in their minds They seek compliance not agreement,Neutral,Implicit White Supremacism,Implicit White Supremacism,0,1,1,0,1,1,1
Hey Siri how do play Fuera Sionista on the accordion,Implicit White Supremacism,Neutral,Neutral,1,0,0,1,0,0,0
We can beat him in 2020 so we must impeach him Democrats,Explicit White Supremacism,Neutral,Neutral,2,0,0,1,0,0,0
More like XXXtinct,Neutral,Other hate Speech,Explicit White Supremacism,0,3,2,0,1,1,1
Had great time in Gatton today Talking to locals amp,Neutral,Implicit White Supremacism,Implicit White Supremacism,0,1,1,0,1,1,1
Swedish Telecom Advertises Helping Women Cheat on Their Husbands with Negroes via,Neutral,Implicit White Supremacism,Explicit White Supremacism,0,1,2,0,1,1,1
Always skeptical Even small percentage of Jewish admixture brings out Jewish qualities,Neutral,Neutral,Other hate Speech,0,0,3,0,0,1,0
So as we got older we held our hands out to EVERYONE like we been taught to and then every nonwhite group on the planet came by and sucker punched us from behind called us evil white devils,Explicit White Supremacism,Explicit White Supremacism,Implicit White Supremacism,2,2,1,1,1,1,1
You need help Teresa Here try this,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
Look up any videos by Leon Degrelle He was French soldier that joined the Waffen SS after the Germans conquered France in six short weeks,Explicit White Supremacism,Neutral,Explicit White Supremacism,2,0,2,1,0,1,1
Paul Joseph Watson Laura Loomer Milo Yianappolous just unpersoned by Facebook in latest purge Labeled dangerous individuals Banned for life This censorship is beyond anti American It truly Orwellian Everyone should speak out against this,Implicit White Supremacism,Explicit White Supremacism,Implicit White Supremacism,1,2,1,1,1,1,1
What is with people blaming God for their problems Stop playing the victim attempt to persevere through the trials and tribulations of life,Neutral,Explicit White Supremacism,Neutral,0,2,0,0,1,0,0
If you believe you re intelligent you re an intellectual than you re probably arrogant If others say you are smart but you are not sure Then most likely you re more intelligent than the arrogant intellectual,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
Wrong answer The Vegas kiler was RADICAL LEFT WINGER Should we BAN DEMOCRATS,Explicit White Supremacism,Other hate Speech,Other hate Speech,2,3,3,1,1,1,1
If all you are doing is podcast and political commentary then what is the point of people giving you tons of money There has to be future goal project and next step of expansion that require funds to achieve like any other business This is how start ups raise cash,Neutral,Explicit White Supremacism,Implicit White Supremacism,0,2,1,0,1,1,1
Machine guns It not complicated Good for killing bad guys keeping friends alive,Implicit White Supremacism,Neutral,Implicit White Supremacism,1,0,1,1,0,1,1
BREAKING Documents were unsealed yesterday revealing that top Democrats including Bill Clinton took private trips to Jeffrey Epstein pedophilia island,Explicit White Supremacism,Explicit White Supremacism,Implicit White Supremacism,2,2,1,1,1,1,1
You Moron Get back in your box Anyone with half brain knows you Shorty Pleb etc are complete Pretenders You simply not up to it Bowen For the good of Australia vote LNP Bill Bowen just want to tax you more to give it away to Bludgers and foreign aid,Explicit White Supremacism,Explicit White Supremacism,Explicit White Supremacism,2,2,2,1,1,1,1
If Trump has no impact on the economy then why did news about Michael Flynn cause markets to fall That would seem to indicate that investors have faith in POTUS and want him to stay in charge,Implicit White Supremacism,Explicit White Supremacism,Neutral,1,2,0,1,1,0,1
One rule for the left and completely different one for the right Hypocrisy writ large Credit to,Implicit White Supremacism,Explicit White Supremacism,Neutral,1,2,0,1,1,0,1
